t,x,y,vd,xyd,nd,d,st
107,955.55,1130.95,0.303781,0.303781,6,6.32319,0
107,955.853,1130.98,0.304875,0.304875,6,6.32301,0
108,956.156,1131.01,0.305554,0.305554,6,6.32227,0
108,956.461,1131.05,0.30623,0.306229,6,6.32094,0
109,956.766,1131.08,0.306898,0.306898,6,6.31971,0
109,957.071,1131.12,0.307567,0.307567,6,6.31816,0
110,957.378,1131.15,0.308705,0.308705,6,6.31631,0
110,957.685,1131.19,0.309365,0.309365,6,6.31427,0
110,957.993,1131.23,0.310328,0.310328,6,6.31142,0
111,958.302,1131.26,0.31098,0.31098,6,6.30826,0
111,958.611,1131.3,0.311808,0.311808,6,6.30446,0
112,958.922,1131.34,0.312449,0.312449,6,6.30075,0
112,959.232,1131.38,0.313091,0.313091,6,6.2967,0
112,959.544,1131.42,0.314037,0.314037,6,5.5579,0
113,959.856,1131.45,0.314671,0.314671,6,5.59004,0
113,960.169,1131.49,0.315488,0.315487,6,5.62145,0
114,960.483,1131.53,0.316114,0.316114,6,5.65261,0
114,960.797,1131.57,0.316734,0.316734,6,5.68325,0
115,961.112,1131.61,0.317351,0.317351,6,5.71399,0
115,961.427,1131.66,0.317968,0.317968,6,5.74443,0
115,961.743,1131.7,0.318757,0.318757,6,5.77498,0
116,962.06,1131.74,0.319367,0.319367,6,5.80511,0
116,962.377,1131.78,0.320048,0.320048,6,5.8346,0
117,962.695,1131.82,0.320649,0.320649,6,5.86369,0
117,963.013,1131.87,0.321249,0.321249,6,5.89245,0
118,963.332,1131.91,0.321863,0.321863,6,5.92171,0
118,963.651,1131.96,0.322458,0.322458,6,5.95037,0
119,963.971,1132,0.323028,0.323028,6,5.97877,0
119,964.292,1132.04,0.323614,0.323613,6,6.00645,0
119,964.613,1132.09,0.3242,0.3242,6,6.03376,0
120,964.934,1132.14,0.324783,0.324782,6,6.06184,0
120,965.256,1132.18,0.32536,0.32536,6,6.08907,0
121,965.579,1132.23,0.325938,0.325938,6,6.11587,0
121,965.901,1132.28,0.326381,0.326381,6,6.14166,0
121,966.225,1132.32,0.326953,0.326953,6,6.16707,0
122,966.546,1132.37,0.327346,0.327345,6,6.19183,0
122,966.871,1132.42,0.327913,0.327913,6,6.21664,0
123,966.996,1132.44,0.322967,0.322976,6,6.22608,0
123,967.315,1132.49,0.323554,0.323554,6,6.24969,0
123,967.636,1132.54,0.32414,0.324141,6,6.27285,0
124,967.957,1132.59,0.32532,0.325319,6,6.29517,0
124,968.279,1132.64,0.325897,0.325897,6,6.31702,0
125,968.601,1132.69,0.326472,0.326472,6,6.33926,0
125,968.924,1132.74,0.327041,0.327041,6,6.36072,0
126,969.247,1132.8,0.32761,0.32761,6,6.38168,0
126,969.571,1132.85,0.328174,0.328173,6,6.40316,0
126,969.896,1132.9,0.328737,0.328737,6,6.42383,0
127,970.221,1132.96,0.329763,0.329763,6,6.44424,0
127,970.547,1133.01,0.330319,0.330319,6,6.46423,0
128,970.873,1133.07,0.331206,0.331206,6,6.48396,0
128,971.201,1133.12,0.331752,0.331752,6,6.50322,0
129,971.528,1133.18,0.332297,0.332298,6,6.52185,0
129,971.856,1133.23,0.332838,0.332838,6,6.53974,0
129,972.184,1133.29,0.333378,0.333378,6,6.55701,0
130,972.513,1133.35,0.334298,0.334297,6,6.57281,0
130,972.843,1133.41,0.334831,0.334831,6,6.58841,0
131,973.173,1133.47,0.335612,0.335612,6,6.60245,0
131,973.503,1133.53,0.336136,0.336136,6,6.61633,0
132,973.834,1133.6,0.33666,0.33666,6,6.62955,0
132,974.166,1133.66,0.337323,0.337323,6,6.64098,0
132,974.497,1133.72,0.337841,0.337841,6,6.65192,0
133,974.829,1133.79,0.338609,0.338609,6,6.66203,0
133,975.162,1133.86,0.339118,0.339118,6,6.67148,0
134,975.495,1133.92,0.339627,0.339627,6,6.68026,0
134,975.828,1133.99,0.340284,0.340284,6,6.68884,0
135,976.162,1134.06,0.340788,0.340787,6,6.69683,0
135,976.496,1134.13,0.341284,0.341283,6,6.70478,0
135,976.831,1134.2,0.341782,0.341782,6,6.71194,0
136,977.166,1134.27,0.342422,0.342422,6,6.71914,0
136,977.502,1134.34,0.342913,0.342913,6,6.72547,0
137,977.838,1134.41,0.343403,0.343403,6,6.73102,0
137,978.174,1134.48,0.343948,0.343948,6,6.73442,0
138,978.51,1134.56,0.344433,0.344433,6,6.73745,0
138,978.847,1134.63,0.344929,0.34493,6,6.74008,0
138,979.184,1134.71,0.34541,0.34541,6,6.7416,0
139,979.521,1134.79,0.34587,0.34587,6,6.74182,0
139,979.858,1134.86,0.346346,0.346346,6,6.74154,0
140,980.196,1134.94,0.34682,0.34682,6,6.73983,0
140,980.534,1135.02,0.347288,0.347289,6,6.7377,0
141,980.872,1135.1,0.347757,0.347756,6,6.73479,0
141,981.211,1135.18,0.348221,0.348222,6,6.73218,0
141,981.55,1135.27,0.348686,0.348685,6,6.72847,0
142,981.887,1135.35,0.3489,0.3489,6,6.72506,0
142,982.227,1135.43,0.349359,0.349358,6,6.72046,0
143,982.567,1135.51,0.349817,0.349817,6,6.71499,0
143,982.746,1135.56,0.345804,0.345822,6,6.71265,0
143,983.082,1135.64,0.346278,0.346298,6,6.70675,0
144,983.419,1135.72,0.347255,0.347255,6,6.70039,0
144,983.756,1135.81,0.347722,0.347722,6,6.69283,0
145,984.094,1135.89,0.348189,0.348188,6,6.68438,0
145,984.431,1135.98,0.348653,0.348653,6,6.67554,0
146,984.769,1136.07,0.349115,0.349115,6,6.6654,0
146,985.107,1136.16,0.349573,0.349572,6,6.65426,0
147,985.445,1136.25,0.35003,0.350031,6,6.64227,0
147,985.784,1136.34,0.350864,0.350863,6,6.62922,0
147,986.123,1136.43,0.351312,0.351313,6,6.61536,0
148,986.463,1136.52,0.351761,0.351762,6,6.6006,0
148,986.802,1136.62,0.352478,0.352478,6,6.58502,0
149,987.142,1136.71,0.352921,0.35292,6,6.56843,0
149,987.482,1136.81,0.35336,0.35336,6,6.55106,0
150,987.823,1136.91,0.353799,0.353798,6,6.53268,0
150,988.163,1137,0.354545,0.354546,6,6.51325,0
150,988.504,1137.1,0.354976,0.354976,6,6.49297,0
151,988.845,1137.2,0.355407,0.355406,6,6.47179,0
151,989.187,1137.3,0.356038,0.356038,6,6.44986,0
151,989.528,1137.41,0.356463,0.356463,6,6.42689,0
152,989.87,1137.51,0.356885,0.356885,6,6.40298,0
152,990.212,1137.61,0.357306,0.357305,6,6.37819,0
153,990.554,1137.72,0.358046,0.358046,6,6.3522,0
153,990.896,1137.82,0.358459,0.358459,6,6.32547,0
154,991.239,1137.93,0.358873,0.358873,6,6.29787,0
154,991.582,1138.04,0.359283,0.359282,6,5.28393,0
154,991.924,1138.15,0.359692,0.359692,6,5.31627,0
155,992.268,1138.26,0.36022,0.36022,6,5.34744,0
155,992.611,1138.37,0.360625,0.360624,6,5.37804,0
156,992.954,1138.48,0.361142,0.361142,6,5.40759,0
156,993.298,1138.59,0.36154,0.361541,6,5.43654,0
157,993.641,1138.71,0.361938,0.361938,6,5.46472,0
157,993.985,1138.82,0.362333,0.362333,6,5.49342,0
157,994.329,1138.94,0.362727,0.362728,6,5.52095,0
158,994.674,1139.05,0.363166,0.363166,6,5.54878,0
158,995.019,1139.17,0.363556,0.363556,6,5.57555,0
158,995.364,1139.28,0.363942,0.363942,6,5.6028,0
159,995.709,1139.4,0.364327,0.364327,6,5.62884,0
159,996.054,1139.51,0.364711,0.364711,6,5.6541,0
160,996.399,1139.63,0.365094,0.365094,6,5.67777,0
160,996.744,1139.75,0.365474,0.365474,6,5.70077,0
161,997.09,1139.87,0.365851,0.365851,6,5.72306,0
161,997.435,1140,0.366228,0.366228,6,5.74459,0
162,997.78,1140.12,0.366403,0.366402,6,5.76664,0
162,998.125,1140.24,0.366775,0.366775,6,5.78759,0
162,998.471,1140.36,0.367147,0.367148,6,5.80783,0
163,998.817,1140.49,0.367516,0.367516,6,5.8278,0
163,999.163,1140.61,0.367885,0.367885,6,5.84718,0
164,999.404,1140.7,0.365057,0.365057,6,5.85945,0
164,999.747,1140.82,0.365436,0.365435,6,5.87665,0
164,1000.09,1140.95,0.365814,0.365814,6,5.89324,0
165,1000.43,1141.08,0.3662,0.3662,6,5.90932,0
165,1000.78,1141.2,0.366575,0.366575,6,5.92497,0
166,1001.12,1141.33,0.366949,0.366949,6,5.94,0
166,1001.47,1141.46,0.36732,0.367321,6,5.95463,0
167,1001.81,1141.59,0.367688,0.367688,6,5.96977,0
167,1002.15,1141.72,0.368056,0.368056,6,5.98392,0
167,1002.5,1141.85,0.368726,0.368726,6,5.99815,0
168,1002.84,1141.98,0.369087,0.369086,6,6.01189,0
168,1003.19,1142.11,0.369447,0.369448,6,6.02506,0
168,1003.54,1142.24,0.370024,0.370024,6,6.03878,0
169,1003.88,1142.37,0.37038,0.370381,6,6.05174,0
169,1004.23,1142.5,0.370733,0.370733,6,6.06515,0
170,1004.58,1142.63,0.371086,0.371085,6,6.07785,0
170,1004.92,1142.77,0.371686,0.371686,6,6.08972,0
170,1005.27,1142.9,0.372032,0.372031,6,6.10127,0
171,1005.62,1143.03,0.372379,0.372379,6,6.1123,0
171,1005.97,1143.17,0.372887,0.372887,6,6.12218,0
172,1006.31,1143.3,0.373227,0.373227,6,6.13174,0
172,1006.66,1143.44,0.373567,0.373567,6,6.14086,0
173,1007.01,1143.58,0.374165,0.374165,6,6.14974,0
173,1007.36,1143.71,0.374501,0.374501,6,6.15846,0
173,1007.71,1143.85,0.374833,0.374833,6,6.16695,0
174,1008.06,1143.99,0.375166,0.375166,6,6.17485,0
174,1008.4,1144.13,0.375595,0.375595,6,6.1823,0
175,1008.75,1144.27,0.375922,0.375922,6,6.18935,0
175,1009.1,1144.4,0.376249,0.376249,6,6.19604,0
176,1009.45,1144.54,0.376667,0.376667,6,6.20353,0
176,1009.8,1144.68,0.37699,0.376991,6,6.21066,0
176,1010.15,1144.82,0.37731,0.37731,6,6.21773,0
177,1010.5,1144.96,0.377631,0.377631,6,6.22446,0
177,1010.86,1145.1,0.377987,0.377986,6,6.23198,0
178,1011.21,1145.24,0.378302,0.378302,6,6.23887,0
178,1011.56,1145.38,0.378617,0.378617,6,6.24543,0
179,1011.91,1145.52,0.378929,0.378929,6,6.25184,0
179,1012.26,1145.66,0.37924,0.37924,6,6.25793,0
180,1012.61,1145.81,0.379551,0.37955,6,6.26372,0
180,1012.97,1145.95,0.37986,0.37986,6,6.27017,0
180,1013.32,1146.09,0.380168,0.380168,6,6.27589,0
181,1013.67,1146.23,0.380472,0.380472,6,6.28087,0
181,1014.02,1146.37,0.380776,0.380777,6,6.2854,0
182,1014.38,1146.52,0.380917,0.380917,6,6.28943,0
182,1014.73,1146.66,0.38122,0.381219,6,6.29339,0
183,1015.08,1146.8,0.381519,0.381519,6,6.29885,0
183,1015.44,1146.95,0.381817,0.381817,6,6.30358,0
183,1015.79,1147.09,0.382115,0.382114,6,6.30808,0
184,1016.06,1147.2,0.379829,0.379829,6,6.31106,0
184,1016.41,1147.35,0.380137,0.380137,6,6.31474,0
185,1016.77,1147.49,0.380451,0.380451,6,6.31801,0
185,1017.12,1147.63,0.380754,0.380754,6,6.32137,0
186,1017.47,1147.78,0.381057,0.381057,6,6.32459,0
186,1017.82,1147.92,0.381359,0.381358,6,6.32631,0
186,1018.18,1148.07,0.381659,0.381659,6,6.32852,0
187,1018.53,1148.21,0.381956,0.381955,6,6.33184,0
187,1018.88,1148.36,0.382253,0.382253,6,6.33499,0
187,1019.24,1148.51,0.382794,0.382794,6,6.33823,0
188,1019.59,1148.65,0.383086,0.383086,6,6.34152,0
188,1019.95,1148.8,0.383378,0.383378,6,6.34472,0
189,1020.3,1148.94,0.383845,0.383845,6,6.3463,0
189,1020.66,1149.09,0.384131,0.38413,6,6.34829,0
190,1021.01,1149.24,0.384418,0.384418,6,6.35025,0
190,1021.37,1149.38,0.384701,0.384701,6,6.35176,0
191,1021.72,1149.53,0.384985,0.384985,6,6.41476,0
191,1022.08,1149.68,0.385467,0.385467,6,6.41371,0
191,1022.43,1149.83,0.385746,0.385746,6,6.41225,0
192,1022.79,1149.97,0.386024,0.386024,6,6.41078,0
192,1023.15,1150.12,0.386431,0.386431,6,6.41012,0
193,1023.51,1150.27,0.386706,0.386706,6,6.4089,0
193,1023.87,1150.41,0.387189,0.387189,6,6.40868,0
